,author,link,title,date
0,Gotham,https://www.ptt.cc/bbs/movie/M.1646236671.A.451.html,[新聞] 炎亞綸越洋訪問《蝙蝠俠》　導演直說「可, 3/02
1,lc85301,https://www.ptt.cc/bbs/movie/M.1646237445.A.D78.html,Re: [轉錄] 如何解讀《末代皇帝》最後年邁的溥儀在, 3/03
2,godofsex,https://www.ptt.cc/bbs/movie/M.1646242886.A.E77.html,[新聞] 凱文費吉：奇異博士是漫威銀幕宇宙定錨, 3/03
3,shen0348,https://www.ptt.cc/bbs/movie/M.1646243595.A.288.html,[新聞] 山姆艾里歐特大力批評《犬山記》, 3/03
4,quentintu,https://www.ptt.cc/bbs/movie/M.1646245027.A.F56.html,[普雷]《秘境探險》 電玩改編電影，總算沒走鐘, 3/03
5,seatala,https://www.ptt.cc/bbs/movie/M.1646270475.A.938.html,[討論] 蝙蝠俠 The Batman 原聲帶音樂分享, 3/03
6,kenny1300175,https://www.ptt.cc/bbs/movie/M.1646275319.A.66D.html,[新聞] 《蝙蝠俠》柔伊克拉維茲：貓女是雙性戀, 3/03
7,ckshchen,https://www.ptt.cc/bbs/movie/M.1630756788.A.1FE.html,[公告] 電影板板規 2021/9/4, 9/04
8,qpr322,https://www.ptt.cc/bbs/movie/M.1644327722.A.4C7.html,[情報] 2022 奧斯卡金像獎 入圍名單, 2/08
9,lgng66133,https://www.ptt.cc/bbs/movie/M.1644330059.A.03A.html,[情報] 2022 奧斯卡金像獎 入圍統計&觀看管道, 2/08
10,lgng66133,https://www.ptt.cc/bbs/movie/M.1644400612.A.392.html,[公告] movie板 樂透! 奧斯卡獎最佳女主角, 2/09
11,lgng66133,https://www.ptt.cc/bbs/movie/M.1644815102.A.782.html,[公告] 2022北美獎季影帝影后猜猜樂活動 至2/25, 2/14
12,kenny1300175,https://www.ptt.cc/bbs/movie/M.1646206564.A.C24.html,[新聞] 據傳伊莉莎白歐森與漫威合約再延長七年, 3/02
13,clark3530,https://www.ptt.cc/bbs/movie/M.1646212692.A.848.html,[新聞] 西恩潘紀錄片不拍了加入逃命行列, 3/02
14,oldfood,https://www.ptt.cc/bbs/movie/M.1646213461.A.6F3.html,[宣傳] 一個與電影有關的解謎活動, 3/02
15,joey0602,https://www.ptt.cc/bbs/movie/M.1646213753.A.CD7.html,[新聞] 今敏紀錄片搶先在台上映 黑天鵝名導親回, 3/02
16,jygiant0330,https://www.ptt.cc/bbs/movie/M.1646215220.A.649.html,[好雷] 蝙蝠俠, 3/02
17,dragon50119,https://www.ptt.cc/bbs/movie/M.1646219905.A.715.html,"[情報] 芦田愛菜,宮本信子《春心萌動的老屋緣廊", 3/02
18,witness0828,https://www.ptt.cc/bbs/movie/M.1646220093.A.2FD.html,[請益] 咒術迴戰0的尿尿點, 3/02
19,quentintu,https://www.ptt.cc/bbs/movie/M.1646220892.A.6B5.html,[負雷]《艾菲爾情緣》 2022年最爛情人節電影, 3/02
20,godofsex,https://www.ptt.cc/bbs/movie/M.1646223909.A.C7B.html,[新聞] 拯救電影真英雄！小蜘蛛兩新片吸金586億, 3/02
